subject,phase,time,ear
dahyun,open,1784601243.5322132,0.3699207781127906
dahyun,open,1784601243.5719912,0.37581150517255674
dahyun,open,1784601243.6112986,0.3773730756896364
dahyun,open,1784601243.649045,0.3797905243343784
dahyun,open,1784601243.686144,0.38130600831913886
dahyun,open,1784601243.7235081,0.37605210251272136
dahyun,open,1784601243.7595544,0.38268679009357165
dahyun,open,1784601243.7965043,0.37942225348789355
dahyun,open,1784601243.8337116,0.37861125880737495
dahyun,open,1784601243.8706923,0.3785498952675734
dahyun,open,1784601243.906922,0.38610528239733766
dahyun,open,1784601243.944407,0.3865476630094505
dahyun,open,1784601243.982654,0.38288617207733244
dahyun,open,1784601244.020236,0.38256081863305436
dahyun,open,1784601244.0600202,0.3843516417299468
dahyun,open,1784601244.0973914,0.3866470625465529
dahyun,open,1784601244.1360419,0.38679167467891357
dahyun,open,1784601244.1739285,0.38646341062824013
dahyun,open,1784601244.2109642,0.3854273421837895
dahyun,open,1784601244.250406,0.3850313239570232
dahyun,open,1784601244.2869039,0.3810312538038765
dahyun,open,1784601244.323977,0.3778112084576633
dahyun,open,1784601244.3599865,0.375908518629073
dahyun,open,1784601244.3969867,0.37487290714177923
dahyun,open,1784601244.4348967,0.3755028951983244
dahyun,open,1784601244.4722204,0.37591911909568654
dahyun,open,1784601244.509403,0.37609984704056487
dahyun,open,1784601244.546511,0.3766196157572048
dahyun,open,1784601244.5828896,0.3766155786109813
dahyun,open,1784601244.6205804,0.37669932539483036
dahyun,open,1784601244.6600165,0.3762743461511128
dahyun,open,1784601244.6977935,0.3761219933341566
dahyun,open,1784601244.7353308,0.37595763693916473
dahyun,open,1784601244.7729018,0.37593550345425947
dahyun,open,1784601244.8120139,0.37597476554579246
dahyun,open,1784601244.8496544,0.37591801646371514
dahyun,open,1784601244.8880343,0.3758742004179829
dahyun,open,1784601244.9255075,0.3755861047785778
dahyun,open,1784601244.963986,0.375932258769924
dahyun,open,1784601245.0016043,0.3758637671672701
dahyun,open,1784601245.039232,0.37636533999408944
dahyun,open,1784601245.0771828,0.37665057214734643
dahyun,open,1784601245.1138551,0.3765802781660428
dahyun,open,1784601245.1514335,0.3768219490688839
dahyun,open,1784601245.1902494,0.3771072468933083
dahyun,open,1784601245.2293284,0.3771726762873989
dahyun,open,1784601245.266377,0.3765166070695642
dahyun,open,1784601245.3039145,0.37585559134129315
dahyun,open,1784601245.3403082,0.37591028175042407
dahyun,open,1784601245.3776448,0.37515566670336614
dahyun,open,1784601245.415893,0.37436729500742455
dahyun,open,1784601245.4547777,0.3740607965621692
dahyun,open,1784601245.4920678,0.3740832032266843
dahyun,open,1784601245.5295727,0.3738247892146623
dahyun,open,1784601245.5659323,0.37358420398812714
dahyun,open,1784601245.6035957,0.3738764259147467
dahyun,open,1784601245.6419463,0.37416528272597716
dahyun,open,1784601245.6793973,0.3751160465088415
dahyun,open,1784601245.7189672,0.37564617435725095
dahyun,open,1784601245.756702,0.3759639837099892
dahyun,open,1784601245.7927406,0.37618545835048145
dahyun,open,1784601245.8302257,0.3775245487498162
dahyun,open,1784601245.866533,0.3783594479845499
dahyun,open,1784601245.9038782,0.3788089917085634
dahyun,open,1784601245.940868,0.37892002002734493
dahyun,open,1784601245.9789407,0.3788882945871717
dahyun,open,1784601246.0184004,0.3788765229120676
dahyun,open,1784601246.0564506,0.37894913089339155
dahyun,open,1784601246.0928473,0.3790960138761042
dahyun,open,1784601246.1319945,0.37871540771149625
dahyun,open,1784601246.1719983,0.37872458466143166
dahyun,open,1784601246.210478,0.37865169360834394
dahyun,open,1784601246.247119,0.37859476250488644
dahyun,open,1784601246.2853491,0.37846916010777065
dahyun,open,1784601246.3280816,0.3780918505512614
dahyun,open,1784601246.365413,0.37785800791266144
dahyun,open,1784601246.4017103,0.3778855677938662
dahyun,open,1784601246.4401286,0.37792836558596277
dahyun,open,1784601246.4800048,0.3780330853911964
dahyun,open,1784601246.5179825,0.378051319776395
dahyun,open,1784601246.554834,0.37806976505969925
dahyun,open,1784601246.5948856,0.37788776842667754
dahyun,open,1784601246.631659,0.3778217435970453
dahyun,open,1784601246.6696267,0.3777820176597099
dahyun,open,1784601246.7059405,0.37725381166689514
dahyun,open,1784601246.7440786,0.3704496906902914
dahyun,open,1784601246.7840116,0.3655067744073136
dahyun,open,1784601246.8215609,0.3626378116104579
dahyun,open,1784601246.8600042,0.36085754226228417
dahyun,open,1784601246.8973887,0.3605234991755985
dahyun,open,1784601246.935995,0.35968340034769053
dahyun,open,1784601246.9744866,0.3596137039062044
dahyun,open,1784601247.0120816,0.3597694981887555
dahyun,open,1784601247.0505695,0.359860514718262
dahyun,open,1784601247.09018,0.36048337531395114
dahyun,open,1784601247.1301672,0.3608898797898652
dahyun,open,1784601247.1696663,0.3612469632080514
dahyun,open,1784601247.2070897,0.3614814513523774
dahyun,open,1784601247.245932,0.36166903329198347
dahyun,open,1784601247.2840922,0.3619258440056404
dahyun,open,1784601247.323118,0.3622151279827113
dahyun,open,1784601247.3608062,0.3624845942630307
dahyun,open,1784601247.401864,0.36252812240073606
dahyun,open,1784601247.4400876,0.3626600415240145
dahyun,open,1784601247.479556,0.3631093936810862
dahyun,open,1784601247.51957,0.3632718684937109
dahyun,open,1784601247.5567138,0.3633768210278439
dahyun,open,1784601247.595317,0.36344721934047275
dahyun,open,1784601247.6339643,0.36341434430263087
dahyun,open,1784601247.671814,0.3634557540498865
dahyun,open,1784601247.7086806,0.36341258838705265
dahyun,open,1784601247.7462144,0.36315634822132375
dahyun,open,1784601247.786234,0.3631950750185397
dahyun,open,1784601247.825005,0.36301643101292547
dahyun,open,1784601247.864588,0.3630059431077348
dahyun,open,1784601247.902353,0.36301237914077567
