subject,phase,time,ear
hanul,open,1784601499.7636256,0.3168000027172425
hanul,open,1784601499.8013356,0.3395871636884452
hanul,open,1784601499.8399885,0.35574809456240686
hanul,open,1784601499.8779964,0.3619152886093682
hanul,open,1784601499.9150362,0.3660503562143597
hanul,open,1784601499.951943,0.3677890662799068
hanul,open,1784601499.9899144,0.36611913671390234
hanul,open,1784601500.0269985,0.3616777323153761
hanul,open,1784601500.0636845,0.3604425785563931
hanul,open,1784601500.1005292,0.36032135436840323
hanul,open,1784601500.138817,0.359565746848291
hanul,open,1784601500.1760724,0.3589584705858293
hanul,open,1784601500.2130857,0.3583732481723448
hanul,open,1784601500.2503257,0.35786048458613245
hanul,open,1784601500.2879906,0.35822156262094096
hanul,open,1784601500.3251965,0.35853022667549395
hanul,open,1784601500.3609257,0.3596479470894494
hanul,open,1784601500.400457,0.3600523216531181
hanul,open,1784601500.4389977,0.36066558379984404
hanul,open,1784601500.4758518,0.36115604538800455
hanul,open,1784601500.5130727,0.36232969985593494
hanul,open,1784601500.5503404,0.36277568361663487
hanul,open,1784601500.5894542,0.3629164640095298
hanul,open,1784601500.6267807,0.36348215668489
hanul,open,1784601500.6629317,0.36251499608524346
hanul,open,1784601500.700095,0.36222190756273814
hanul,open,1784601500.7363262,0.3621025363784341
hanul,open,1784601500.7745712,0.36172456840081235
hanul,open,1784601500.8109133,0.3620954374814103
hanul,open,1784601500.8479235,0.3623196368670398
hanul,open,1784601500.8845692,0.36247976602990045
hanul,open,1784601500.9213173,0.36275308461611105
hanul,open,1784601500.9580016,0.36272727147085004
hanul,open,1784601500.9950306,0.3626418686393764
hanul,open,1784601501.0315735,0.36256433722858206
hanul,open,1784601501.0684583,0.3624396777048002
hanul,open,1784601501.1043825,0.3623464078210699
hanul,open,1784601501.1410112,0.3625835022121991
hanul,open,1784601501.1780264,0.36311759996887594
hanul,open,1784601501.2149637,0.36357806936499415
hanul,open,1784601501.2529233,0.363932776898079
hanul,open,1784601501.290394,0.3642353610029983
hanul,open,1784601501.3288298,0.3642107653539937
hanul,open,1784601501.3661892,0.36421266796337154
hanul,open,1784601501.405061,0.3640652181206181
hanul,open,1784601501.442894,0.36401756601357904
hanul,open,1784601501.4811213,0.36400149982988794
hanul,open,1784601501.5190172,0.36373995834025086
hanul,open,1784601501.5570374,0.3636077743780593
hanul,open,1784601501.594351,0.3630116537555509
hanul,open,1784601501.6305196,0.3628718303389174
hanul,open,1784601501.6679163,0.3628072675071467
hanul,open,1784601501.704183,0.36226388570715645
hanul,open,1784601501.741469,0.36260746227743346
hanul,open,1784601501.7789333,0.36191432532658996
hanul,open,1784601501.8163218,0.3627699696935997
hanul,open,1784601501.852467,0.36333334148386015
hanul,open,1784601501.8892913,0.3646466121168574
hanul,open,1784601501.927988,0.36648603426682397
hanul,open,1784601501.967107,0.36634802768208424
hanul,open,1784601502.0047472,0.3681925338186292
hanul,open,1784601502.0423403,0.3681104973461366
hanul,open,1784601502.0794778,0.36745924971416294
hanul,open,1784601502.1164436,0.3672500200994008
hanul,open,1784601502.1534944,0.36645123827549625
hanul,open,1784601502.1909401,0.36666468856947165
hanul,open,1784601502.2283318,0.3666681199604851
hanul,open,1784601502.2666166,0.36659857358174464
hanul,open,1784601502.303876,0.3667729581921379
hanul,open,1784601502.3402743,0.36664656975028903
hanul,open,1784601502.3782065,0.3660533615037478
hanul,open,1784601502.4145162,0.36594676122363534
hanul,open,1784601502.4527693,0.3657900128627915
hanul,open,1784601502.4888523,0.36623866656130866
hanul,open,1784601502.5269089,0.36563364353723127
hanul,open,1784601502.5647597,0.36568373349412836
hanul,open,1784601502.6022713,0.36533482750548385
hanul,open,1784601502.6387599,0.36535638987023394
hanul,open,1784601502.67712,0.3654280808185648
hanul,open,1784601502.716033,0.3654532206737568
hanul,open,1784601502.753292,0.3652169394676525
hanul,open,1784601502.7919972,0.36517107301051654
