frame,read,detect,crop,infer,e2e_ms,output
37,0.9909,11.9636,0.5616,2.2562,15.7723,0.001919
38,0.9137,7.981,0.5727,2.2571,11.7245,3e-06
39,0.8971,7.9046,0.6147,2.2584,11.6749,0.002236
40,0.9382,8.1276,0.6052,2.2454,11.9164,0.738391
41,0.915,7.956,0.5828,2.2591,11.713,0.999811
42,0.9196,8.0102,0.5811,2.262,11.7729,0.999924
43,0.9175,7.7693,0.542,2.2551,11.4839,0.093747
44,0.9326,8.0328,0.6178,2.2841,11.8674,0.011473
45,0.9204,7.7961,0.5911,2.2604,11.568,0.056179
46,0.9267,7.7902,0.5487,2.2285,11.4941,0.053605
47,0.9631,8.3849,0.5816,2.2307,12.1603,0.013214
48,0.9602,8.1056,0.6022,2.235,11.903,0.00997
49,0.9508,7.8885,0.5976,2.2357,11.6726,0.141918
50,0.9564,7.8767,0.6018,2.2433,11.6782,0.125592
51,0.9632,7.768,0.6015,2.243,11.5758,0.225204
52,0.9288,7.9291,0.6236,2.2404,11.722,0.380717
53,0.9259,7.784,0.6717,2.2228,11.6045,0.261425
54,0.9082,7.886,0.6073,2.271,11.6725,0.199459
55,0.9154,7.9,0.6292,2.2456,11.6902,0.175238
56,0.9502,8.0241,0.617,2.2615,11.8528,0.252045
57,0.9108,7.9117,0.6221,2.2438,11.6884,0.012832
58,0.8893,7.9677,0.6356,2.2405,11.733,0.005088
59,0.9306,7.9852,0.6438,2.2826,11.8422,0.90977
60,0.937,7.9032,0.6186,2.2639,11.7227,0.969845
62,0.9418,11.8444,0.5245,2.26,15.5707,0.187833
63,0.9619,7.9701,0.5646,2.2679,11.7645,0.423349
64,0.9318,7.9463,0.5646,2.2593,11.7019,0.992464
65,0.9003,7.8756,0.5417,2.2905,11.6081,0.972106
66,0.9214,7.9166,0.5416,2.2671,11.6467,0.992823
67,0.9109,7.8662,0.5886,2.2436,11.6093,0.999387
68,1.0249,8.1888,0.549,2.236,11.9987,0.989721
70,0.9659,12.0146,0.5243,2.2802,15.785,0.123547
71,0.9117,7.6247,0.5555,2.248,11.34,0.994579
72,0.9841,7.9,0.5438,2.2395,11.6673,0.999817
73,0.9567,7.7937,0.5766,2.2041,11.5311,0.999999
74,0.9001,7.8916,0.583,2.2178,11.5925,0.999489
75,0.9539,8.0938,0.591,2.2338,11.8725,0.676211
76,0.9992,7.7538,0.5662,2.2605,11.5798,0.463794
77,0.9521,7.6905,0.5555,2.2539,11.452,0.821968
78,0.9225,7.7723,0.5605,2.2737,11.529,0.74619
79,0.9649,7.7296,0.5649,2.2705,11.5298,0.808394
80,0.9957,7.718,0.5572,2.2608,11.5317,0.807834
81,0.9429,7.6753,0.5548,2.233,11.4059,0.758557
82,0.964,7.7484,0.559,2.2296,11.501,0.795549
83,1.0008,7.7959,0.5528,2.2423,11.5918,0.668797
84,1.0057,7.7812,0.5898,2.239,11.6157,0.6685
85,0.9437,7.7266,0.5563,2.2344,11.461,0.656241
86,0.9241,7.7579,0.5515,2.2564,11.4899,0.479495
87,0.9436,7.7441,0.5583,2.2581,11.504,0.430093
88,0.9835,7.8258,0.5591,2.2763,11.6446,0.409171
89,0.9291,7.6649,0.5558,2.2616,11.4114,0.466557
90,0.9164,7.763,0.5589,2.2463,11.4846,0.210846
91,0.9805,7.7102,0.5588,2.2251,11.4746,0.253097
92,1.008,7.8436,0.5533,2.2263,11.6312,0.311079
93,0.9379,7.7083,0.5794,2.2342,11.4598,0.339943
94,0.9321,7.8819,0.5791,2.2444,11.6375,0.293633
95,0.9053,7.7847,0.5694,2.2725,11.5319,0.11936
96,0.9666,7.8695,0.5673,2.26,11.6634,0.121289
97,0.894,7.6913,0.5566,2.2726,11.4146,0.062295
98,0.9448,7.8089,0.5517,2.2828,11.5882,0.023038
99,0.9148,7.7004,0.5546,2.2647,11.4345,0.00193
100,0.9685,7.9023,0.553,2.2341,11.6579,0.001994
101,0.9898,8.0372,0.5576,2.2331,11.8178,0.003585
102,0.9713,7.7253,0.5635,2.2401,11.5003,0.00403
103,0.9626,7.8105,0.5607,2.2449,11.5786,0.000447
104,0.9545,7.879,0.5712,2.2346,11.6393,0.000294
105,0.9381,7.7584,0.5626,2.2443,11.5034,0.000525
106,0.9397,7.7831,0.5554,2.2565,11.5347,0.000449
107,0.9204,7.7807,0.5585,2.2496,11.5092,0.000477
108,0.9554,7.9398,0.5627,2.2503,11.7082,0.000526
109,0.9487,7.68,0.5583,2.2606,11.4475,0.00016
110,0.927,7.8097,0.5608,2.2829,11.5803,0.000207
111,0.9225,7.7342,0.5625,2.2408,11.46,0.000227
112,0.9826,7.8603,0.5489,2.2309,11.6226,0.000504
113,0.9769,7.8182,0.5562,2.2323,11.5836,0.000549
114,0.9675,7.7577,0.5713,2.2252,11.5217,0.001205
115,0.9077,7.7827,0.5534,2.2506,11.4944,0.001492
116,0.9396,7.8621,0.5638,2.2586,11.624,0.94201
117,0.9323,7.8145,0.5772,2.2574,11.5814,0.999944
118,0.9435,7.6398,0.566,2.2482,11.3975,0.999988
119,0.9408,7.8037,0.5754,2.2761,11.5961,0.999994
120,0.9483,7.7368,0.5698,2.2731,11.528,0.999873
121,0.9405,7.6979,0.5737,2.2343,11.4464,0.999004
122,0.9991,7.758,0.5776,2.2307,11.5654,0.989951
123,0.9531,7.684,0.572,2.2296,11.4387,0.946954
124,0.9838,7.7971,0.5848,2.233,11.5987,0.85373
125,0.9399,7.6718,0.5736,2.2515,11.4368,0.494799
126,0.9631,7.7016,0.568,2.2643,11.497,0.458409
127,0.9216,8.0074,0.5704,2.2707,11.7701,0.412419
128,0.9662,7.891,0.5691,2.2763,11.7026,0.446792
129,0.934,7.6504,0.5701,2.2331,11.3875,0.433656
130,0.9354,7.8233,0.5615,2.2645,11.5846,0.421448
131,0.9148,7.8153,0.572,2.236,11.5381,0.415865
132,0.977,7.7885,0.5717,2.2252,11.5623,0.300401
133,0.9768,7.8212,0.5529,2.2362,11.5871,0.405525
134,0.9651,7.7471,0.5921,2.235,11.5395,0.29045
135,0.9181,7.778,0.5624,2.2611,11.5195,0.468992
136,0.9602,7.8202,0.562,2.2492,11.5916,0.471185
137,0.9531,7.7223,0.5675,2.2345,11.4774,0.547785
138,0.9416,7.7915,0.5687,2.2691,11.571,0.64931
139,0.9253,7.7319,0.5598,2.2521,11.4691,0.692892
