frame,read,detect,crop,infer,e2e_ms,output
37,0.9786,11.8965,4.0543,2.3228,19.2522,0.00192
38,0.9326,8.0848,4.0238,2.3162,15.3573,3e-06
39,0.8895,7.942,4.1306,2.343,15.3051,0.002246
40,0.9603,8.0659,4.4069,2.3025,15.7356,0.738601
41,0.9352,7.9489,6.4446,2.331,17.6599,0.999811
42,0.9567,8.0076,4.4072,2.3306,15.702,0.999924
43,0.9127,7.8682,4.284,2.3564,15.4213,0.093397
44,0.9276,8.0465,4.3132,2.3345,15.6218,0.01148
45,0.941,7.8193,4.3272,2.3084,15.3958,0.056165
46,0.9123,7.8636,4.2641,2.3091,15.3492,0.053574
47,0.9362,7.7844,4.2419,2.3076,15.2701,0.013168
48,0.932,8.208,4.5944,2.3103,16.0448,0.009939
49,0.9545,8.014,4.5237,2.2993,15.7916,0.142115
50,0.9458,7.9642,4.5152,2.3051,15.7303,0.125673
51,0.9049,7.8681,4.2614,2.3334,15.3678,0.225362
52,0.9374,7.9259,4.3245,2.3253,15.5131,0.379782
53,0.9466,7.9615,4.4384,2.3241,15.6705,0.261458
54,0.9443,7.9236,4.3432,2.3221,15.5332,0.199843
55,0.9079,7.9258,4.2548,2.3329,15.4213,0.175336
56,0.9308,8.039,4.1932,2.3437,15.5067,0.251137
57,0.9485,8.0952,4.281,2.3096,15.6342,0.012847
58,0.959,7.9967,4.2772,2.315,15.5479,0.005109
59,0.9701,8.0862,4.3287,2.2967,15.6817,0.909882
60,0.9192,7.9351,4.3284,2.3157,15.4983,0.969888
62,0.966,11.9115,4.4526,2.3483,19.6784,0.186866
63,0.928,7.9193,4.1942,2.3369,15.3785,0.423265
64,0.9443,8.0017,4.2014,2.3729,15.5203,0.992451
65,0.9085,8.1198,4.2138,2.3273,15.5694,0.972228
66,0.9302,8.0111,4.2665,2.3349,15.5428,0.992818
67,0.8863,7.8525,4.2007,2.3373,15.2769,0.999389
68,0.9384,8.0064,4.5451,2.3421,15.8321,0.989599
70,0.9687,11.8579,4.2792,2.3883,19.4942,0.123565
71,0.9101,7.7387,4.4323,2.2966,15.3777,0.994605
72,0.999,7.9569,4.437,2.3134,15.7062,0.999817
73,0.96,7.9317,6.4737,2.3172,17.6826,0.999999
74,0.9203,7.8399,4.4235,2.373,15.5567,0.999492
75,0.9424,8.1565,4.4426,2.3265,15.8681,0.676362
76,0.9298,7.7735,4.5508,2.3749,15.629,0.46378
77,0.9638,7.8885,4.4174,2.2952,15.5649,0.82369
78,0.9216,7.8304,4.4288,2.3153,15.4961,0.744955
79,1.0007,7.841,4.4307,2.3144,15.5868,0.809461
80,0.977,7.9117,4.4902,2.3035,15.6823,0.806173
81,0.9425,7.7878,4.478,2.313,15.5213,0.762132
82,0.9181,7.7942,4.4464,2.3294,15.4882,0.795462
83,0.9575,7.9579,4.4438,2.326,15.6852,0.667976
84,0.9379,7.7602,4.4243,2.3275,15.4499,0.668616
85,0.9524,7.7898,4.4035,2.3417,15.4874,0.654222
86,0.9144,7.803,4.424,2.3542,15.4957,0.480819
87,0.9592,7.8423,4.4185,2.3125,15.5326,0.42849
88,0.9363,7.924,4.5197,2.3009,15.6809,0.408988
89,0.9629,7.8767,6.4755,2.3192,17.6343,0.466788
90,0.9011,7.8438,4.4333,2.3365,15.5147,0.211348
